time,open,high,low,close,volume,num_trades
2019-07-01 01:00:00,11078.79,11138.83,10935.41,10962.89,2974.791124,23942
2019-07-01 02:00:00,10960.4,11078.63,10900,10983.7,2740.122383,24911
2019-07-01 03:00:00,10983.7,11180.85,10950,11178.08,2712.777791,25602
2019-07-01 04:00:00,11178.13,11189.99,11072.62,11106.79,2185.825146,21262
2019-07-01 05:00:00,11107.17,11146.96,10902.59,10994.45,2559.981085,23928
2019-07-01 06:00:00,10994.45,11045,10924,11022.65,2004.385957,21991
2019-07-01 07:00:00,11020.87,11041.42,10535,10666.14,6772.344461,53653
2019-07-01 08:00:00,10665.04,10748.34,10578.08,10578.28,3397.693892,28702
2019-07-01 09:00:00,10578.21,10669.67,10256.01,10305.94,7232.476079,50846
2019-07-01 10:00:00,10294.35,10397,10050,10396.98,9265.116217,68873
2019-07-01 11:00:00,10390.17,10480,10254.99,10316.42,4294.5451,36582
2019-07-01 12:00:00,10317.18,10426.26,10172.76,10294.95,3275.090013,30892
2019-07-01 13:00:00,10295.11,10375,10205.65,10307.19,2309.593402,22771
2019-07-01 14:00:00,10305.08,10314.47,10030,10258.02,4316.517434,36795
2019-07-01 15:00:00,10259,10600,10258.07,10524.09,4184.344763,36135
2019-07-01 16:00:00,10524.29,10639.41,10451.01,10596.06,2586.650366,25441
2019-07-01 17:00:00,10591.77,10596.26,10462.2,10500.06,2851.015444,24327
2019-07-01 18:00:00,10500.03,10700,10497.28,10624.93,2686.8726,24945
2019-07-01 19:00:00,10624.9,10700,10365.6,10365.6,3183.929738,29630
2019-07-01 20:00:00,10365.51,10435.98,10216,10263.08,2576.073655,24448
2019-07-01 21:00:00,10263.06,10420.86,10234.75,10274.75,3341.412266,21984
2019-07-01 22:00:00,10271.87,10357.49,10242,10339.07,1937.373814,16212
2019-07-01 23:00:00,10340.51,10390,9830,9941.92,9590.193925,69492
2019-07-02 00:00:00,9944.47,9988.28,9776,9820.75,5702.600796,41074
2019-07-02 01:00:00,9823.07,9919.97,9760.02,9796.64,4100.975954,30696
2019-07-02 02:00:00,9797.77,9929.45,9793,9866.96,2251.26577,20785
2019-07-02 03:00:00,9866.7,10311.23,9835,10204.58,5503.528725,40883
2019-07-02 04:00:00,10212.93,10350,10120.55,10161.55,4080.023252,33601
2019-07-02 05:00:00,10167.12,10248.27,10010.01,10047.4,2775.727555,26987
2019-07-02 06:00:00,10048.3,10239,9727,9989.1,9397.268639,67665
2019-07-02 07:00:00,9993.96,10207.44,9945.3,10058.46,5713.795065,42468
2019-07-02 08:00:00,10055.71,10160,9918,9995.56,3965.775306,29745
2019-07-02 09:00:00,9991.23,10542.99,9981.41,10542.99,7886.060906,59500
2019-07-02 10:00:00,10538.38,10657.62,10383.77,10632.17,5591.270428,47524
2019-07-02 11:00:00,10632.16,10637.09,10423.13,10510.69,3514.095798,34758
2019-07-02 12:00:00,10510.69,10784.94,10503.21,10772.34,5057.468582,47453
2019-07-02 13:00:00,10767.6,10774.5,10581.01,10725,4607.196169,35406
2019-07-02 14:00:00,10724.65,10898.99,10680.06,10784,5585.46693,39086
2019-07-02 15:00:00,10785.1,10938.75,10703.63,10709.9,4083.208105,34718
2019-07-02 16:00:00,10714,10785.88,10592.64,10686.7,4228.924685,31257
2019-07-02 17:00:00,10686.56,10882.58,10655,10819.06,2715.665865,24817
2019-07-02 18:00:00,10818.2,10863,10692,10842.85,2171.7368,19959
2019-07-02 19:00:00,10844.98,11297,10841.04,11266.66,7529.134137,54888
2019-07-02 20:00:00,11266.58,11453.86,11211,11347.62,6520.260269,47810
2019-07-02 21:00:00,11353.45,11353.45,11121,11135.75,5503.186506,38000
2019-07-02 22:00:00,11135.75,11349.99,11076.67,11289.48,3633.979921,28344
2019-07-02 23:00:00,11289.46,11392.98,11201.9,11236.92,2440.406715,28071
2019-07-03 00:00:00,11236.92,11513,11205,11432.46,5093.666609,45623
2019-07-03 01:00:00,11432.46,11484.17,11275,11415.53,3144.346506,28369
2019-07-03 02:00:00,11415.21,11440,11200.17,11217.7,3518.872921,31776
2019-07-03 03:00:00,11217.7,11310,10956.98,10996.15,4060.469277,32417
2019-07-03 04:00:00,11008,11220,10878.75,11219.49,5174.028922,40519
2019-07-03 05:00:00,11215.01,11347,11156.51,11294.37,3241.735911,30130
2019-07-03 06:00:00,11291.48,11339.82,11060.01,11162.35,2429.359103,22443
2019-07-03 07:00:00,11166.54,11380.22,11123.43,11370,3209.712954,28022
2019-07-03 08:00:00,11366.97,11420.06,11161.87,11238.55,3465.486769,32083
2019-07-03 09:00:00,11238.58,11423.46,11187.5,11363.02,2512.610798,26352
2019-07-03 10:00:00,11364.56,11460,11304.84,11422.43,3053.750562,27625
2019-07-03 11:00:00,11421.93,11444.42,11134.02,11174.48,3824.526582,35988
2019-07-03 12:00:00,11174.48,11347.01,11165.65,11175.2,2866.490947,27372
2019-07-03 13:00:00,11174.98,11256.06,11017.59,11227.64,4843.883172,36168
2019-07-03 14:00:00,11224.76,11319.46,11156.29,11257.82,2009.534338,20594
2019-07-03 15:00:00,11256.97,11412,11205,11354.35,2380.357659,21962
2019-07-03 16:00:00,11356.01,11403.04,11288.68,11376.05,1732.746818,17282
2019-07-03 17:00:00,11376.72,11921.99,11357.01,11886.69,7894.849897,66743
2019-07-03 18:00:00,11887,11991.89,11755.02,11940,6732.502997,46173
2019-07-03 19:00:00,11940,12000,11780,11805,4572.575941,34598
2019-07-03 20:00:00,11805.01,11890.47,11711.09,11841.69,2173.353193,21714
2019-07-03 21:00:00,11841.69,11936.99,11824.82,11869.78,2413.871002,20857
2019-07-03 22:00:00,11869.78,11916.17,11800,11850,2064.422313,20027
2019-07-03 23:00:00,11848.71,11865.01,11600,11629.71,3184.332639,29726
2019-07-04 00:00:00,11627.75,11698.54,11550,11650.26,3427.228651,25976
2019-07-04 01:00:00,11653.1,11774.06,11611,11729.58,2869.450903,23804
2019-07-04 02:00:00,11729.84,11798.98,11619.28,11669.23,2923.530364,31694
2019-07-04 03:00:00,11669.23,11740.95,11575.24,11721.4,3336.719684,35305
2019-07-04 04:00:00,11718.74,11732.46,11563.73,11604.27,2262.280861,24777
2019-07-04 05:00:00,11604.99,11645,11457.91,11565.88,3167.608706,29294
2019-07-04 06:00:00,11567.07,11735,11540.01,11672.13,2422.318997,25199
2019-07-04 07:00:00,11672.47,11769.12,11644.02,11717.34,2431.227469,25188
2019-07-04 08:00:00,11715.92,11889,11696.81,11818.75,2514.276978,27849
2019-07-04 09:00:00,11819.84,11863.64,11739,11816.15,2168.38937,24347
2019-07-04 10:00:00,11818.89,11857,11680.51,11707.42,2471.075733,25096
2019-07-04 11:00:00,11707.42,11799.79,11600,11749.04,2597.333707,27916
2019-07-04 12:00:00,11749.97,11858.39,11739.56,11828.44,2101.726123,21897
2019-07-04 13:00:00,11827.68,11838.95,11750.51,11786.98,1150.578462,13769
2019-07-04 14:00:00,11784.82,11807.1,11700.51,11805.42,1204.688701,15275
2019-07-04 15:00:00,11805.43,11805.44,11522.34,11692.08,3813.733983,36557
2019-07-04 16:00:00,11692.08,11736.59,11552.12,11554.11,1801.032383,19384
2019-07-04 17:00:00,11557.18,11687.35,11536.19,11599.5,1466.242487,16305
2019-07-04 18:00:00,11594.18,11617.94,11055,11145.67,7974.223242,67313
2019-07-04 19:00:00,11145.67,11230,11002.63,11170.81,4205.04498,34058
2019-07-04 20:00:00,11172.85,11294.89,11155.65,11226,2608.994977,19428
2019-07-04 21:00:00,11226.45,11280,11108.59,11135.91,2795.601982,19812
2019-07-04 22:00:00,11137.35,11197.47,11075.47,11154.56,2179.058643,19035
2019-07-04 23:00:00,11155.59,11208.03,11040.21,11186.24,2129.669304,19940
2019-07-05 00:00:00,11186.39,11227.49,11130.01,11136.67,1263.570141,14720
2019-07-05 01:00:00,11131.78,11159.98,10832,10857.04,4068.307028,35082
2019-07-05 02:00:00,10859.77,10986.35,10796.44,10982.73,3509.890343,31054
2019-07-05 03:00:00,10985.22,10986,10851.03,10888.99,3480.848823,24316
2019-07-05 04:00:00,10887.89,11214.99,10864.93,11197.23,5783.045594,31890
2019-07-05 05:00:00,11197.8,11340.45,11119.27,11284.25,2923.904882,26463
2019-07-05 06:00:00,11283.38,11290.86,11175,11175,1862.305707,19513
2019-07-05 07:00:00,11177.11,11236.36,11082.29,11162.05,2467.252193,23153
2019-07-05 08:00:00,11169.73,11207.08,11110.99,11144.18,1584.847267,15961
2019-07-05 09:00:00,11140.53,11406.83,11140.01,11321.51,2923.49096,27551
2019-07-05 10:00:00,11321.51,11371.06,11175.03,11233.74,1982.839602,20619
2019-07-05 11:00:00,11235.28,11245.03,11120,11141.57,1659.125365,18419
2019-07-05 12:00:00,11136.95,11287.93,11030,11280,2729.265472,25795
2019-07-05 13:00:00,11276.44,11321.78,11126.81,11200.3,1834.874917,18431
2019-07-05 14:00:00,11200.3,11250,11080,11111.55,1700.612998,17475
2019-07-05 15:00:00,11110.47,11144.64,10805.1,11014.35,4065.932386,39517
2019-07-05 16:00:00,11014.4,11120,10947.81,11066.02,1736.403258,19250
2019-07-05 17:00:00,11067.17,11115.77,10901.09,10934.76,1951.866485,20895
2019-07-05 18:00:00,10934.76,11048.89,10820,10970.73,2087.597275,22480
2019-07-05 19:00:00,10982.41,11400,10964.51,11399.94,3974.814546,34266
2019-07-05 20:00:00,11397.02,11408.6,11285.02,11335.59,2231.316984,18805
2019-07-05 21:00:00,11336.14,11404,11290.01,11321.73,1589.782843,15485
2019-07-05 22:00:00,11320.17,11477.24,11280.47,11444.45,1421.557077,16980
2019-07-05 23:00:00,11445.81,11544,11365.56,11379.14,2812.856369,24575
2019-07-06 00:00:00,11376.19,11461.8,11285.01,11319.31,2405.189221,19151
2019-07-06 01:00:00,11319.32,11455,11319.32,11352.12,1805.970781,17378
2019-07-06 02:00:00,11349.2,11445,11320.04,11384.07,1680.358328,16089
2019-07-06 03:00:00,11384.13,11485,11262,11290.41,2796.426968,26447
2019-07-06 04:00:00,11292.65,11384.25,11269.74,11379.28,1368.514567,12897
2019-07-06 05:00:00,11376.25,11406.47,11300,11328.98,1568.855303,15020
2019-07-06 06:00:00,11328.99,11375.25,11300,11369.79,1394.024014,12411
2019-07-06 07:00:00,11370,11433.68,11282.08,11380.43,3989.074059,21581
2019-07-06 08:00:00,11381.28,11397.24,11300,11337,1743.948515,16596
2019-07-06 09:00:00,11337.16,11395,11305.04,11391.93,1263.047587,18947
2019-07-06 10:00:00,11392,11621.67,11371.15,11574.32,3918.532707,40021
2019-07-06 11:00:00,11575,11665,11501,11547,2588.178509,25554
2019-07-06 12:00:00,11546.29,11566,11472.6,11539.7,1426.725501,14891
2019-07-06 13:00:00,11535.77,11560.05,11409.63,11442.27,1403.180873,15600
2019-07-06 14:00:00,11442.69,11498.63,11417.26,11493.34,939.177707,11020
2019-07-06 15:00:00,11490.48,11497.74,11410,11427.28,845.859093,10136
2019-07-06 16:00:00,11425.15,11427.2,11084,11174,4720.360141,33908
2019-07-06 17:00:00,11173.98,11243.09,11050,11237.62,2240.758448,20123
2019-07-06 18:00:00,11240,11265,11170,11256.49,1340.98619,12811
2019-07-06 19:00:00,11256.45,11258.54,11110.01,11200.45,1523.382832,15687
2019-07-06 20:00:00,11201.6,11253.41,11156.1,11231.29,888.090416,10283
2019-07-06 21:00:00,11231.71,11237.98,11123,11189.87,1007.258481,12003
2019-07-06 22:00:00,11186.81,11209.19,11094.37,11149.05,1261.986563,12472
2019-07-06 23:00:00,11149.04,11324.99,11127,11277.05,1457.718069,15401
2019-07-07 00:00:00,11280.66,11305.54,11166.99,11224.43,876.355051,9848
2019-07-07 01:00:00,11223.43,11240,11164.07,11177.25,566.078242,8018
2019-07-07 02:00:00,11178.78,11240,11160.96,11198.99,1103.42049,9433
2019-07-07 03:00:00,11197.09,11200,11114.09,11185.4,802.622328,10950
2019-07-07 04:00:00,11189.55,11242.25,11160,11239.59,1271.234434,10118
2019-07-07 05:00:00,11239,11279.54,11225,11267.62,1617.665723,12531
2019-07-07 06:00:00,11268.96,11354.18,11240,11324.3,1677.77718,16206
2019-07-07 07:00:00,11324.17,11448.59,11232.53,11300,3159.487066,25092
2019-07-07 08:00:00,11300,11371.43,11294.61,11331.94,2365.777278,15467
2019-07-07 09:00:00,11331.92,11389.99,11307.01,11307.14,911.009823,10586
2019-07-07 10:00:00,11307.1,11361.83,11165.7,11222.58,2198.576687,20930
2019-07-07 11:00:00,11223.64,11223.69,11119.6,11166.15,1798.837206,17212
2019-07-07 12:00:00,11164.91,11462,11162.25,11408,3830.247315,30647
2019-07-07 13:00:00,11408,11450,11346.87,11390.4,2037.869382,19707
2019-07-07 14:00:00,11394.29,11522.22,11355,11474.18,2643.218014,21416
2019-07-07 15:00:00,11474.18,11538,11356.26,11448,2177.69284,18535
2019-07-07 16:00:00,11448,11496.63,11398.2,11470.91,944.011907,12398
2019-07-07 17:00:00,11470.33,11510.34,11263,11367.21,1994.690713,21467
2019-07-07 18:00:00,11369.57,11438.48,11353.71,11406.24,769.787559,10362
2019-07-07 19:00:00,11410,11460,11343.86,11373.7,1045.790219,13260
2019-07-07 20:00:00,11373.49,11419.64,11330.02,11401.61,718.589512,10073
2019-07-07 21:00:00,11400.24,11428.51,11335,11349.94,843.2181,10838
2019-07-07 22:00:00,11349.92,11382.94,11220,11346.34,1295.528607,14533
2019-07-07 23:00:00,11346.5,11439.74,11301,11420.52,1259.423277,15097
2019-07-08 00:00:00,11420.52,11430,11390.3,11406.54,755.833782,10250
2019-07-08 01:00:00,11406.54,11408.99,11365.95,11376.09,632.543727,9932
2019-07-08 02:00:00,11376.09,11453.68,11368,11420.55,1107.359257,12831
2019-07-08 03:00:00,11420.52,11650.06,11335.06,11638.34,2064.177951,23150
2019-07-08 04:00:00,11641.8,11820,11629.61,11777.36,6361.279209,55025
2019-07-08 05:00:00,11777.61,11894.08,11753.21,11854.78,4093.402936,32580
2019-07-08 06:00:00,11854.78,11923.68,11768.86,11884.8,2445.981856,26063
2019-07-08 07:00:00,11882.69,11905.95,11780.58,11826.59,2113.204953,20402
2019-07-08 08:00:00,11826.62,11859.41,11761.1,11836.59,1570.17035,17448
2019-07-08 09:00:00,11839.96,11877.4,11813.86,11847.99,2159.911,16497
2019-07-08 10:00:00,11847.95,11883.4,11799,11832.52,1590.135646,15139
2019-07-08 11:00:00,11831.86,11835,11750.86,11822.59,2234.517079,19625
2019-07-08 12:00:00,11822.62,11880.05,11815,11855.77,1135.722684,13971
2019-07-08 13:00:00,11855.13,11879.82,11763.63,11840.7,1217.977646,14197
2019-07-08 14:00:00,11841.28,12300,11837.51,12185.57,6356.988927,52989
2019-07-08 15:00:00,12185.57,12253.98,12032,12138.34,4922.888709,37074
