,time,sentiment
146,2020-10-24 23:00:00,0.0
147,2020-10-28 03:00:00,0.0
148,2020-10-28 04:00:00,0.0
149,2020-10-29 01:00:00,0.0
150,2020-10-29 05:00:00,0.0
151,2020-11-01 22:00:00,0.0
152,2020-11-02 16:00:00,0.0
153,2020-11-02 20:00:00,0.0
154,2020-11-05 10:00:00,0.0
155,2020-11-06 06:00:00,0.0
156,2020-11-06 07:00:00,0.0
157,2020-11-06 11:00:00,0.0
158,2020-11-06 16:00:00,0.0
159,2020-11-07 19:00:00,0.0
160,2020-11-09 17:00:00,0.0
161,2020-11-09 19:00:00,0.0
162,2020-11-10 22:00:00,0.0
163,2020-11-12 16:00:00,0.0
164,2020-11-13 06:00:00,0.0
165,2020-11-13 07:00:00,0.0
166,2020-11-13 17:00:00,0.0
167,2020-11-13 18:00:00,0.0
168,2020-11-13 22:00:00,0.0
169,2020-11-14 00:00:00,0.0
170,2020-11-14 20:00:00,0.0
171,2020-11-14 21:00:00,0.0
172,2020-11-15 03:00:00,0.0
173,2020-11-15 15:00:00,0.0
174,2020-11-16 00:00:00,0.0
175,2020-11-16 01:00:00,0.0
176,2020-11-16 02:00:00,0.0
177,2020-11-17 20:00:00,0.0
178,2020-11-17 23:00:00,0.0
179,2020-11-18 08:00:00,0.0
180,2020-11-21 15:00:00,0.0
181,2020-11-21 17:00:00,0.0
182,2020-11-21 18:00:00,0.0
183,2020-11-22 04:00:00,0.0
184,2020-11-25 00:00:00,0.0
185,2020-11-25 03:00:00,0.0
186,2020-11-25 21:00:00,0.0
187,2020-11-26 16:00:00,0.0
188,2020-12-02 04:00:00,0.0
189,2020-12-04 00:00:00,0.0
190,2020-12-06 22:00:00,0.0
191,2020-12-07 05:00:00,0.0
192,2020-12-07 21:00:00,0.0
193,2020-12-08 17:00:00,0.0
194,2020-12-10 00:00:00,0.0
195,2020-12-10 01:00:00,0.0
196,2020-12-14 07:00:00,0.0
197,2020-12-14 16:00:00,0.0
198,2020-12-14 17:00:00,0.0
199,2020-12-17 07:00:00,0.0
